review_text,rating,product_id,seller_id,category,date,product_name
"The battery life is astonishing, highly recommend this phone.",5,P1001,S402,Electronics,2024-09-15,Aura X-Pro Smartphone
Disappointed with the size. It ran much smaller than advertised.,2,P1002,S401,Fashion,2024-05-20,FlexFit Running Tights
Arrived quickly and was very easy to assemble. Great value.,4,P1003,S405,Home Goods,2023-11-01,Geo-Woven Throw Blanket
"A classic novel, but the print quality on this edition is poor.",3,P1004,S403,Books,2024-07-10,The Silent Observer (Book)
"Fresh and delicious, though slightly expensive for the quantity.",5,P1005,S404,Groceries,2024-02-28,Organic Valley Cashews
Started peeling after the first wash. Very low quality material.,1,P1002,S401,Fashion,2024-06-03,FlexFit Running Tights
"Excellent moisturizer, made my skin feel great. Will buy again.",5,P1006,S402,Beauty,2023-12-19,Radiant Glow Serum
The screen clarity is fantastic. Perfect for gaming.,5,P1007,S405,Electronics,2024-10-05,4K Ultra Curved Monitor
"Decent dumbbell set, but the grips are a bit too rough.",4,P1008,S404,Sports,2024-01-12,Hercules Dumbbell Set
"It's an okay blender, it struggles with ice cubes sometimes.",3,P1003,S403,Home Goods,2024-08-22,Geo-Woven Throw Blanket
The color was exactly as shown online. Love this top!,5,P1002,S401,Fashion,2024-04-18,FlexFit Running Tights
Product description was inaccurate. Missing key features mentioned.,2,P1001,S402,Electronics,2023-11-25,Aura X-Pro Smartphone
Simple and effective alarm clock. Does exactly what it needs to.,4,P1003,S405,Home Goods,2024-03-07,Geo-Woven Throw Blanket
The author's writing style is captivating. Highly recommend.,5,P1004,S403,Books,2024-09-01,The Silent Observer (Book)
"I received the wrong flavor, which was disappointing.",2,P1005,S404,Groceries,2023-10-15,Organic Valley Cashews
Caused a mild rash. Definitely not for sensitive skin.,1,P1006,S402,Beauty,2024-05-11,Radiant Glow Serum
Fast processor and good build quality. Highly efficient.,5,P1007,S405,Electronics,2024-07-29,4K Ultra Curved Monitor
"Good for beginners, but professionals might find it too light.",3,P1008,S404,Sports,2024-02-05,Hercules Dumbbell Set
"Just received it, looks good so far. Haven't tried it yet.",3,P1009,S403,Electronics,2024-06-19,PowerLink Portable Charger
The seams ripped after only a month of use. Unacceptable.,1,P1010,S401,Fashion,2023-12-08,All-Weather Hiking Boots
Perfect for summer! Lightweight and breathable fabric.,5,P1002,S401,Fashion,2024-07-14,FlexFit Running Tights
The user interface is very clunky and difficult to navigate.,2,P1001,S402,Electronics,2024-01-30,Aura X-Pro Smartphone
"Great spice rack, organized my pantry perfectly.",5,P1003,S405,Home Goods,2023-10-25,Geo-Woven Throw Blanket
"Inspirational read, changed my perspective on a lot of things.",5,P1004,S403,Books,2024-04-04,The Silent Observer (Book)
Expiration date was too close. Had to use it up quickly.,2,P1005,S404,Groceries,2024-03-29,Organic Valley Cashews
This serum is a game-changer! Noticeable difference in days.,5,P1006,S402,Beauty,2024-08-03,Radiant Glow Serum
Keeps disconnecting from Bluetooth. Very frustrating.,1,P1007,S405,Electronics,2024-05-09,4K Ultra Curved Monitor
